Lat,Lon,DistCentro_km,Area_m2,Habitaciones,Precio_USD,IndiceCrimen,IndiceVerde,IndiceRuido,PuntajeColegios,PuntajeTransporte
-12.064776,-77.040471,2.055,81.6,3,244844,81.5,23.8,84.3,60.8,84.5
-12.152542,-77.126934,14.907,96.7,5,141722,76.0,43.3,72.5,56.2,63.1
-12.028392,-77.033151,2.257,108.4,5,335220,76.5,25.6,78.0,71.0,98.7
-12.053983,-77.029652,1.657,100.1,4,297255,71.6,19.3,84.6,67.1,86.1
-12.165379,-77.110235,15.1,83.9,3,123722,71.2,52.2,75.5,51.6,71.0
-12.088757,-77.092758,7.178,108.3,2,198244,44.5,48.5,49.8,74.7,86.5
-12.228174,-77.110876,21.488,93.2,4,139281,77.4,44.6,78.8,55.6,56.4
-12.191964,-77.137616,19.157,58.0,4,82495,71.3,45.5,78.0,44.7,66.2
-12.230822,-77.157336,23.951,119.0,4,175243,75.1,37.7,65.8,52.6,66.1
-12.196255,-77.125352,18.894,82.1,5,95339,75.0,55.2,67.4,54.3,65.5
-12.078853,-77.177748,15.086,50.7,4,103244,37.9,50.6,56.6,73.7,90.5
-12.20809,-77.135422,20.572,69.8,3,113124,82.5,51.2,75.2,59.6,60.6
-12.038114,-77.056438,1.743,114.3,4,374164,91.3,27.2,85.3,61.8,92.8
-12.075752,-77.178819,15.121,109.8,5,250214,65.3,61.1,68.2,77.6,82.6
-12.101731,-77.115484,9.999,91.2,3,136297,49.7,55.5,50.2,75.9,81.1
-12.115294,-77.092553,9.362,63.3,5,121172,49.2,55.2,50.2,59.2,94.6
-12.055804,-77.14682,11.34,39.0,1,95106,55.6,61.5,58.6,60.1,92.3
-12.060545,-77.165704,13.434,60.7,5,139644,49.0,64.0,61.5,66.7,85.6
-12.195739,-77.130724,19.128,84.1,2,128449,74.4,39.2,72.0,45.6,64.6
-12.137775,-77.117791,13.006,56.1,3,81643,76.5,54.9,77.9,65.4,61.9
-12.033103,-77.033125,1.812,102.8,4,302425,85.1,39.1,81.3,68.2,74.8
-12.110839,-77.111049,10.298,115.9,3,241944,48.9,56.4,53.4,83.9,88.6
-12.170213,-77.153979,18.29,72.0,2,108598,84.7,49.3,71.8,52.8,71.5
-12.068353,-77.171853,14.22,137.3,1,339733,48.4,59.3,63.0,63.3,80.0
-12.08799,-77.095502,7.351,119.2,6,160866,34.2,57.1,59.8,75.5,79.9
-12.16439,-77.101972,14.587,60.0,3,82422,72.7,37.4,71.6,42.7,73.3
-12.061839,-77.052688,2.022,35.0,5,96610,70.2,25.6,76.9,71.2,85.9
-12.230386,-77.188035,25.8,141.0,4,153541,76.5,46.2,70.8,56.6,72.8
-12.113999,-77.097869,9.594,92.8,2,168812,49.8,54.9,55.9,68.3,87.6
-12.050158,-77.054845,1.372,35.0,2,91521,86.8,28.9,89.7,70.3,92.3
-12.02937,-77.050033,2.047,88.4,2,257662,77.8,25.4,84.6,58.2,81.4
-12.092934,-77.092126,7.44,48.8,3,97632,34.8,58.1,50.2,66.7,75.6
-12.102909,-77.113575,9.918,95.3,6,171201,51.9,68.5,56.1,76.9,83.7
-12.214569,-77.106514,19.907,101.5,1,130168,82.0,54.1,79.5,58.7,74.6
-12.10968,-77.132495,12.006,99.9,6,184823,48.2,41.1,56.0,60.5,90.2
-12.062884,-77.098243,6.291,43.0,3,84174,55.9,54.2,48.9,74.9,73.5
-12.093197,-77.110024,8.957,37.2,2,70103,37.9,51.6,67.0,68.4,89.4
-12.137927,-77.099129,11.858,79.9,3,103489,92.1,42.9,77.8,50.7,53.4
-12.045994,-77.040317,0.273,81.4,1,274021,86.1,23.3,76.1,70.8,93.2
-12.111195,-77.061748,7.481,90.4,3,153608,36.1,43.3,50.0,72.1,67.0
-12.118322,-77.087404,9.337,126.2,3,221761,39.1,51.7,49.4,64.7,78.1
-12.025408,-77.065187,3.367,85.8,3,275419,75.5,32.5,87.8,60.8,97.5
-12.122617,-77.171743,16.356,107.2,3,151932,66.8,35.6,72.2,51.1,64.4
-12.172646,-77.096335,15.171,40.9,2,55121,60.5,44.8,85.9,54.6,61.0
-12.060895,-77.177272,14.686,101.9,5,228247,55.5,57.1,62.6,74.2,79.4
-12.042083,-77.03377,1.091,115.4,4,343061,70.9,27.3,81.9,54.5,90.9
-12.084593,-77.100699,7.581,54.8,4,110594,52.1,50.3,57.2,70.3,88.9
-12.1008,-77.150046,13.115,70.7,4,194534,47.2,46.9,68.2,63.9,94.9
-12.071769,-77.161465,13.186,60.1,4,125766,50.6,64.5,63.7,61.2,79.4
-12.179452,-77.113612,16.65,131.7,3,181595,78.2,34.1,68.4,50.5,57.0
-12.102648,-77.059089,6.489,90.1,5,192102,51.4,42.5,59.1,64.3,79.8
-12.167926,-77.128232,16.37,75.4,4,127224,71.3,39.0,69.0,57.0,74.1
-12.110488,-77.075128,7.932,110.8,4,168691,49.3,55.6,52.2,79.3,86.4
-12.137091,-77.093648,11.481,91.1,2,173847,43.4,54.9,55.3,66.2,74.6
-12.212558,-77.048074,18.452,107.7,4,145231,85.2,63.1,85.5,52.8,49.0
-12.057429,-77.122288,8.715,118.8,2,343900,41.6,67.0,53.3,52.7,79.7
-12.054184,-77.033816,1.303,78.2,1,206054,77.0,26.4,91.2,72.0,89.5
-12.144954,-77.141089,15.281,134.2,1,166226,79.1,51.3,76.2,52.6,62.6
-12.054899,-77.130432,9.56,39.2,4,97277,48.8,66.3,54.6,58.1,81.3
-12.115462,-77.080702,8.7,84.1,5,163405,46.2,56.8,58.7,74.9,79.1
-12.045062,-77.050993,0.902,119.6,5,347424,83.4,26.2,82.4,90.3,81.1
-12.086779,-77.078908,5.954,80.7,6,168135,41.1,58.0,53.6,77.3,84.4
-12.05575,-77.062371,2.364,81.6,2,281237,79.5,36.6,71.6,48.0,97.4
-12.14647,-77.100151,12.734,98.9,5,149791,76.1,45.8,78.8,41.3,70.3
-12.107786,-77.096359,8.957,121.1,6,222190,41.1,48.9,59.6,84.8,88.7
-12.117976,-77.185147,17.375,54.0,3,60787,83.4,47.5,70.8,40.4,63.7
-12.156845,-77.121896,14.967,92.6,2,116637,76.2,52.6,64.6,42.8,71.0
-12.045811,-77.034203,0.935,78.9,5,251714,70.4,18.6,94.6,69.5,81.6
-12.039504,-77.045128,0.806,66.1,4,190095,89.6,31.0,90.7,57.6,100.0
-12.096862,-77.100448,8.399,132.2,2,255562,58.7,48.1,42.5,60.6,87.9
-12.172851,-77.138861,17.486,96.8,2,147792,65.3,48.3,78.2,59.3,65.0
-12.099708,-77.091971,7.969,121.2,4,241862,42.7,70.5,45.1,62.7,73.3
-12.105081,-77.110638,9.831,46.2,5,88618,48.6,57.0,47.8,61.0,69.5
-12.055348,-77.045274,1.029,71.5,1,206801,74.5,30.1,83.0,71.5,80.0
-12.107801,-77.101071,9.299,87.0,5,169272,35.5,53.2,66.7,64.5,77.7
-12.068763,-77.14734,11.617,61.8,4,150417,39.9,55.0,50.3,71.5,91.0
-12.040113,-77.063227,2.325,93.9,5,260443,69.0,39.6,81.2,72.2,84.8
-12.162016,-77.127008,15.756,87.5,2,122269,74.1,44.4,76.9,58.7,68.4
-12.052882,-77.044387,0.74,77.6,4,251749,73.6,20.9,84.8,62.3,92.6
-12.043941,-77.159805,12.705,101.2,4,249283,67.2,57.4,49.8,60.2,76.6
-12.153188,-77.140721,15.922,35.0,4,53166,83.7,55.2,78.5,62.8,56.7
-12.055822,-77.041406,1.057,66.3,5,214358,79.1,27.1,78.5,64.4,93.5
-12.076369,-77.175441,14.778,101.1,2,249913,50.1,55.9,53.6,77.8,89.4
-12.098909,-77.09053,7.799,66.5,4,122632,57.2,54.8,55.3,58.8,78.8
-12.114912,-77.12014,11.328,74.1,1,102626,72.1,33.9,72.7,59.8,62.9
-12.117347,-77.084298,9.073,95.4,2,156457,61.6,53.5,48.2,75.3,64.5
-12.111682,-77.13134,12.037,94.8,3,154610,63.5,44.4,48.6,72.1,78.5
-12.065986,-77.045899,2.2,169.6,5,402248,95.0,23.8,81.3,70.9,88.4
-12.130993,-77.111918,12.019,87.2,3,160362,56.0,54.8,56.3,64.0,86.1
-12.098682,-77.096615,8.234,99.7,2,210974,46.5,55.2,62.3,86.8,81.9
-12.033219,-77.032727,1.827,53.2,3,166564,75.7,28.9,75.0,68.3,88.8
-12.03895,-77.049605,1.109,69.8,3,204329,79.1,36.8,72.6,58.3,89.7
-12.024738,-77.045922,2.428,118.9,1,360075,75.8,36.7,71.8,72.6,85.9
-12.071918,-77.193283,16.579,66.9,5,165460,55.2,48.5,60.9,65.8,81.7
-12.123453,-77.071959,9.12,81.2,4,174069,34.2,58.0,53.9,81.3,72.6
-12.035501,-77.164463,13.262,35.0,3,87524,37.7,55.0,60.4,49.9,78.9
-12.128792,-77.08621,10.288,109.4,4,198042,47.2,48.1,52.6,79.4,78.1
-12.108721,-77.073631,7.685,89.2,5,182882,50.8,49.7,61.6,63.5,75.4
-12.096447,-77.112002,9.343,89.5,6,192721,49.3,58.8,52.7,87.8,67.6
-12.131871,-77.10788,11.829,65.5,4,91288,78.3,45.5,73.2,50.6,62.7
-12.100113,-77.081527,7.295,41.3,3,88952,51.9,51.1,50.6,59.1,84.5
-12.156411,-77.138096,16.004,115.0,4,151446,80.3,40.3,67.1,51.5,68.9
-12.112305,-77.088986,8.869,60.7,5,128733,46.6,60.2,54.0,67.6,81.9
-12.039141,-77.046306,0.891,68.0,4,209833,86.7,35.3,78.0,77.8,89.6
-12.044451,-77.118665,8.238,139.9,5,263539,36.2,69.2,46.0,59.7,67.6
-12.039813,-77.020692,2.509,72.8,1,249867,74.1,23.6,78.7,57.2,83.8
-12.1162,-77.080821,8.779,127.8,2,274809,38.3,56.5,55.4,74.8,71.8
-12.115105,-77.082174,8.742,68.4,4,126267,45.0,50.4,66.9,78.3,85.2
-12.13615,-77.150104,15.328,97.2,1,138291,65.7,39.3,78.6,40.5,78.9
-12.07183,-77.157259,12.742,105.4,4,223399,67.9,60.3,66.4,66.9,79.6
-12.031602,-77.018737,3.086,153.8,1,458746,67.4,21.8,84.6,62.4,97.7
-12.169899,-77.133556,16.882,35.0,5,51252,79.0,41.3,72.6,52.9,64.9
-12.141456,-77.143067,15.159,147.1,2,212294,84.8,49.4,89.0,78.3,65.2
-12.191983,-77.11304,17.868,35.0,5,50165,78.5,39.0,62.5,47.3,61.2
-12.041866,-77.071736,3.181,120.0,4,332783,81.6,33.1,77.9,52.2,94.3
-12.072765,-77.088991,5.806,124.7,5,247377,43.5,54.3,52.7,82.2,82.4
-12.093892,-77.177496,15.543,116.8,1,253982,51.7,65.2,56.4,84.0,84.3
-12.119081,-77.084863,9.27,118.1,2,201850,43.6,44.2,61.0,71.2,85.2
-12.159507,-77.159295,17.82,43.1,2,62424,80.1,55.8,79.8,56.7,65.1
-12.117884,-77.093805,9.676,108.9,5,230713,46.4,51.8,58.2,81.1,84.1
-12.135933,-77.120492,13.035,80.8,4,96302,75.5,49.2,75.0,48.9,65.9
-12.099999,-77.088066,7.716,106.1,5,180599,39.5,63.7,63.9,96.8,71.0
-12.116753,-77.162574,15.167,96.2,3,116337,75.8,55.6,81.8,52.1,70.4
-12.150697,-77.125215,14.631,76.3,6,150235,59.4,29.3,48.2,70.4,77.9
-12.037129,-77.030463,1.689,75.2,5,237541,71.3,29.3,74.4,64.2,87.5
-12.050678,-77.042732,0.475,49.8,5,141595,77.1,32.6,77.2,75.2,94.5
-12.089975,-77.108865,8.65,87.8,6,151997,39.4,51.9,58.7,68.9,75.5
-12.060538,-77.04141,1.577,76.5,1,199465,81.6,32.8,75.0,75.1,93.3
-12.089932,-77.102629,8.095,86.5,2,152199,37.4,64.3,52.6,64.8,86.7
-12.192234,-77.104791,17.531,51.5,5,72544,71.6,48.9,70.5,48.7,66.2
-12.084027,-77.058063,4.493,35.0,3,64545,41.3,58.3,68.2,74.9,92.4
-12.064484,-77.07707,4.227,87.6,5,155920,57.5,59.7,52.3,75.6,78.5
-12.038629,-77.042174,0.865,120.1,2,316339,94.8,13.4,87.1,70.6,83.0
-12.090639,-77.088822,7.005,80.3,4,161923,37.3,64.2,60.6,69.1,64.0
-12.134565,-77.11946,12.846,97.3,5,125084,76.7,55.4,66.7,46.1,59.4
-12.088074,-77.093271,7.171,70.1,3,136498,57.4,56.0,53.6,74.0,89.2
-12.159591,-77.067098,12.838,43.0,2,76970,45.8,55.8,59.5,65.0,74.1
-12.073793,-77.152669,12.308,35.0,3,85739,54.2,49.3,62.1,58.3,98.3
-12.107876,-77.078232,7.833,112.0,4,190423,43.7,51.8,51.5,75.5,86.4
-12.111295,-77.09857,9.41,42.6,4,84160,44.3,61.8,55.3,86.6,87.5
-12.193534,-77.163844,20.962,35.0,1,46316,66.3,50.4,73.0,59.5,57.2
-12.094775,-77.161674,13.977,70.9,4,181159,52.2,53.1,51.1,64.2,84.4
-12.185672,-77.136083,18.48,70.4,5,96343,70.7,45.5,83.9,51.9,58.7
-12.115425,-77.119883,11.346,35.0,3,57201,41.3,56.1,63.4,65.7,65.2
-12.068946,-77.091686,5.867,110.1,4,231902,40.5,46.7,53.9,70.2,79.3
-12.131484,-77.051671,9.493,76.5,2,146401,39.6,69.0,61.9,60.7,83.7
-12.083692,-77.154487,12.811,124.2,1,301720,59.9,60.7,62.7,75.0,95.3
-12.045354,-77.054904,1.319,35.0,5,117904,81.1,37.0,86.4,76.9,85.6
-12.07806,-77.175479,14.826,111.9,5,258563,46.3,64.3,70.2,63.1,86.9
-12.129635,-77.091539,10.647,121.1,6,212303,49.0,60.2,58.9,64.8,76.7
-12.043777,-77.039329,0.476,59.3,2,195843,86.0,29.8,83.7,73.3,93.6
-12.15656,-77.109364,14.203,68.3,3,107170,66.3,33.2,83.9,54.8,66.9
-12.137117,-77.109106,12.378,119.6,2,155013,95.0,51.1,79.4,48.1,72.0
-12.040574,-77.049559,0.978,122.3,4,333903,88.9,36.4,77.1,71.3,82.0
-12.110746,-77.089904,8.784,89.1,5,160289,33.2,50.7,51.2,82.6,72.0
-12.033715,-77.040597,1.428,41.4,4,114340,82.7,27.9,80.9,57.2,97.4
-12.137961,-77.129329,13.839,89.7,4,127274,61.0,33.5,75.2,36.7,68.7
-12.062842,-77.156461,12.473,80.9,3,209834,41.7,61.3,58.5,53.2,77.8
-12.108128,-77.099194,9.188,142.7,4,267108,33.4,45.0,55.8,71.6,74.1
-12.113373,-77.114535,10.766,75.4,3,135364,42.1,67.2,55.1,78.3,66.0
-12.040791,-77.025234,2.006,123.3,2,341820,76.5,31.7,91.1,71.9,96.3
-12.067069,-77.029603,2.705,73.3,4,241934,65.3,33.1,77.6,59.0,88.5
-12.030438,-77.059037,2.499,88.4,3,258760,79.7,39.2,87.7,63.8,86.8
-12.139327,-77.14829,15.412,76.4,5,109538,71.4,53.2,74.8,52.1,59.5
-12.048248,-77.043409,0.216,103.0,2,321737,89.6,28.5,91.6,66.5,95.3
-12.129792,-77.089452,10.551,35.1,5,70896,41.1,59.3,58.7,68.1,77.4
-12.144704,-77.080471,11.653,74.4,5,157109,30.6,41.6,61.4,69.5,81.7
-12.096046,-77.097049,8.065,42.2,2,84500,48.4,65.3,50.4,59.2,78.1
-12.077456,-77.075598,4.956,107.1,4,174942,44.8,48.3,56.9,66.6,80.8
-12.080814,-77.135267,10.74,111.8,4,247043,46.5,48.5,54.5,80.6,88.9
-12.101534,-77.101112,8.805,103.6,5,198613,47.7,46.9,58.9,76.3,73.6
-12.087918,-77.166352,14.182,105.1,4,276545,45.8,51.9,67.0,81.0,81.4
-12.05102,-77.160588,12.797,40.3,5,94856,57.0,59.2,65.7,70.5,79.9
-12.101763,-77.096488,8.469,61.1,2,113265,29.0,64.8,55.5,62.5,83.7
-12.091642,-77.074366,6.08,35.0,6,65806,52.4,56.9,64.7,69.0,84.6
-12.122624,-77.083671,9.554,93.0,4,188996,55.3,52.9,52.6,50.9,94.0
-12.049846,-77.085192,4.618,63.2,5,92392,38.6,44.9,57.7,68.3,68.4
-12.068919,-77.149788,11.88,91.1,1,214413,56.1,57.2,70.7,64.4,66.4
-12.091621,-77.123591,10.105,116.2,3,235005,53.1,64.8,56.1,80.4,83.8
-12.107681,-77.103642,9.481,35.0,4,69064,58.8,59.7,65.8,70.3,74.8
-12.060803,-77.148789,11.616,70.3,3,176765,57.8,51.8,49.8,70.0,78.8
-12.21546,-77.127797,20.911,92.8,1,111438,61.9,35.5,72.3,50.7,67.1
-12.05138,-77.049525,0.916,65.0,2,177538,88.5,24.2,85.5,64.6,93.1
-12.09006,-77.085024,6.671,93.7,6,158653,50.1,55.1,52.1,81.3,82.5
-12.127109,-77.144437,14.212,64.4,2,102693,73.0,46.0,76.6,49.5,62.3
-12.084751,-77.080238,5.885,59.0,5,119172,32.2,53.3,54.5,70.0,73.6
-12.102197,-77.112522,9.78,123.2,4,236989,42.4,56.1,47.4,68.5,77.0
-12.09767,-77.08975,7.64,148.2,6,279494,68.5,70.8,48.7,67.4,95.9
-12.162148,-77.151756,17.463,90.7,2,126999,74.1,39.3,71.1,71.3,67.5
-12.100902,-77.080251,7.289,101.2,3,190370,53.6,55.0,54.7,76.2,83.6
-12.049505,-77.023287,2.146,62.9,5,195590,72.7,26.3,94.0,84.9,81.9
-12.087795,-77.117358,9.307,116.8,6,227303,39.3,73.7,50.5,72.7,80.9
-12.230631,-77.11042,21.727,57.5,1,83415,67.3,35.9,75.1,53.2,53.9
-12.046278,-77.051425,0.936,77.2,2,231252,86.0,19.0,80.5,66.4,96.7
-12.085996,-77.125217,9.968,120.4,6,226966,50.5,50.5,59.9,70.8,94.0
-12.070414,-77.078634,4.716,143.9,5,298531,44.0,68.4,54.8,68.1,79.9
-12.132718,-77.08005,10.4,80.3,4,138999,52.2,56.3,56.3,82.6,85.2
-12.151953,-77.149827,16.5,71.8,2,101820,53.8,34.8,85.1,53.5,63.7
-12.051487,-77.023944,2.123,109.1,3,346342,74.9,29.4,77.9,74.3,90.5
-12.072088,-77.16279,13.334,76.3,2,168486,42.5,59.0,55.1,71.1,82.1
-12.192031,-77.118188,18.119,40.9,1,59988,76.4,46.7,73.1,48.7,67.1
-12.087565,-77.16461,13.99,43.1,4,100325,35.9,54.2,71.4,60.8,81.0
-12.108485,-77.062976,7.231,50.3,4,102265,42.0,55.6,53.3,64.0,65.7
-12.10666,-77.096896,8.901,80.7,4,155315,58.2,48.0,57.7,71.6,85.1
-12.112635,-77.118462,11.023,57.7,2,112229,54.3,49.2,52.0,80.9,82.3
-12.058853,-77.045844,1.421,100.2,3,311536,84.5,24.1,81.1,77.3,100.0
-12.085519,-77.112829,8.755,103.4,2,228315,47.7,57.4,52.5,73.7,79.8
-12.097108,-77.089839,7.6,61.6,5,119535,44.7,67.4,49.6,64.0,77.8
-12.08095,-77.175709,14.929,73.4,2,210971,48.4,73.2,53.7,67.1,93.4
-12.044058,-77.05494,1.343,111.5,3,380362,88.3,39.7,76.9,69.8,86.3
-12.05702,-77.041264,1.191,87.6,2,286976,95.0,23.2,80.7,76.9,92.5
-12.207709,-77.166969,22.412,39.6,5,52972,50.4,44.3,77.3,61.1,65.0
-12.071078,-77.184099,15.582,83.3,1,203393,51.4,59.1,61.9,51.1,84.3
-12.125911,-77.084949,9.941,117.9,4,234871,42.3,52.7,60.0,78.4,77.8
-12.049509,-77.158297,12.543,117.8,2,337487,27.5,60.7,53.8,72.1,73.2
-12.117755,-77.130189,12.358,146.0,3,202819,82.9,57.9,65.5,52.8,72.4
-12.189567,-77.166863,20.831,100.1,1,139166,71.1,45.1,80.9,69.1,79.6
-12.110693,-77.092324,8.935,75.2,4,146040,50.7,55.5,55.2,65.7,88.3
-12.086763,-77.08332,6.279,95.9,4,177883,65.7,55.8,49.6,70.5,76.9
-12.15917,-77.102675,14.104,66.0,5,83840,68.6,50.3,81.4,48.9,64.7
-12.152195,-77.12685,14.871,78.2,4,83508,85.1,43.4,78.9,44.2,70.7
-12.063733,-77.156504,12.492,84.3,2,183317,54.9,67.0,60.6,69.3,71.5
-12.081006,-77.182914,15.688,112.1,5,288313,54.1,57.9,51.8,63.2,93.2
-12.158859,-77.199365,21.088,74.2,3,101489,76.0,50.3,73.7,53.2,80.1
-12.054196,-77.144813,11.108,131.5,5,324206,58.7,62.5,54.1,67.7,88.6
-12.041155,-77.054336,1.381,97.0,3,265401,87.5,20.8,78.2,75.5,86.3
-12.055416,-77.035321,1.289,102.4,3,325176,79.5,29.8,73.5,78.5,87.4
-12.107467,-77.103075,9.421,105.4,4,200878,44.1,49.4,51.7,63.4,71.3
-12.05214,-77.026296,1.901,76.1,3,218383,69.7,37.0,68.9,69.0,90.5
-12.12127,-77.090225,9.776,93.0,4,177211,49.1,52.2,60.6,63.1,78.3
